compound	compound_desc
C14825	9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
C14826	12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid
C14827	9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid; (9S,10E,12Z)-9-Hydroperoxy-10,12-octadecadienoate
C14828	9,10-DHOME; 9,10-DHOA; (12Z)-9,10-Dihydroxyoctadec-12-enoic acid
C14829	12,13-DHOME; 12,13-DHOA; (9Z)-12,13-Dihydroxyoctadec-9-enoic acid
C14831	8(R)-HPODE; (9Z,12Z)-(8R)-8-Hydroperoxyoctadeca-9,12-dienoic acid; (8R,9Z,12Z)-8-Hydroperoxyoctadeca-9,12-dienoate
C14832	12,13-Epoxy-9-hydroxy-10-octadecenoate; 12(R),13(S)-Epoxy-9(S)-hydroxy-10(E)-octadecenoic acid; (10E)-(9S,12R,13S)-12,13-Epoxy-9-hydroxyoctadec-10-enoic acid
C14833	9,12,13-TriHOME; 9(S),12(S),13(S)-Trihydroxy-10(E)-octadecenoic acid; (10E)-(9S,12S,13S)-9,12,13-Trihydroxyoctadec-10-enoic acid
C14834	9,10-Epoxy-13-hydroxy-11-octadecenoate; (11E)-9,10-Epoxyoctadecenoic acid
C14835	9,10,13-TriHOME; 9,10,13-Trihydroxyoctadec-11-enoic acid; (11E)-9,10,13-Trihydroxyoctadec-11-enoic acid
C14836	9,10-12,13-Diepoxyoctadecanoate; 9,10-12,13-Diepoxyoctadecanoic acid
C14837	9,10-Dihydroxy-12,13-epoxyoctadecanoate; 9,10-Dihydroxy-12,13-epoxyoctadecanoic acid
C14839	Bromobenzene-3,4-oxide; Bromobenzene-3,4-epoxide
C14840	Bromobenzene-2,3-oxide; Bromobenzene-2,3-epoxide
C14841	2-Bromophenol; o-Bromophenol
C14842	Bromobenzene-2,3-dihydrodiol; 3-Bromo-3,5-cyclohexadiene-1,2-diol
C14843	4-Bromocatechol
C14844	Bromobenzene-3,4-dihydrodiol; 4-Bromo-3,5-cyclohexadiene-1,2-diol
C14845	4-Bromophenol-2,3-epoxide
C14846	4-Bromo-3,5-cyclohexadiene-1,2-dione; 4-Bromo-1,2-benzoquinone
C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
C14848	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
C14849	Benzo[a]pyrene-9,10-oxide; Benzo[a]pyrene-9,10-epoxide
C14850	Benzo[a]pyrene-7,8-oxide; Benzo[a]pyrene-7,8-epoxide
C14851	Benzo[a]pyrene-4,5-oxide; Benzo[a]pyrene-4,5-epoxide
C14852	Benzo[a]pyrene-7,8-diol; Benzo[a]pyrene-7,8-dihydrodiol
C14853	Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide; 7,8-Dihydro-7,8-dihydroxybenzo[a]pyrene 9,10-oxide
C14854	9-Hydroxybenzo[a]pyrene-4,5-oxide; 9-Hydroxybenzo[a]pyrene-4,5-epoxide
C14855	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene
C14856	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene
C14857	1,1-Dichloroethylene epoxide; 2,2-Dichlorooxirane
C14858	2,2-Dichloroacetaldehyde
C14859	Chloroacetyl chloride
C14860	2,2-Dichloro-1,1-ethanediol
C14861	S-(2,2-Dichloro-1-hydroxy)ethyl glutathione
C14862	2-S-Glutathionyl acetate; S-(Carboxymethyl)glutathione
C14863	2-(S-Glutathionyl)acetyl glutathione
C14864	S-(2-Chloroacetyl)glutathione
C14865	2-(S-Glutathionyl)acetyl chloride
C14866	Chloral; Trichloroacetaldehyde
C14867	Dichloroacetyl chloride
C14868	S-(1,2-Dichlorovinyl)glutathione; DCVG
C14869	Trichloroethanol glucuronide; Urochloralic acid; 2,2,2-Trichloroethyl beta-D-glucopyranosiduronic acid
C14870	2-Bromoacetaldehyde
C14871	S-(Formylmethyl)glutathione
C14872	Thiodiacetic acid
C14873	Thiodiacetic acid sulfoxide
C14874	Glutathione episulfonium ion
C14875	S-(2-Hydroxyethyl)glutathione
C14876	S-(2-Hydroxyethyl)-N-acetyl-L-cysteine
C14877	S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine
C14899	3-Dehydro-L-gulonate 6-phosphate
C15492	all-trans-13,14-Dihydroretinol; 13,14-Dihydroretinol
C15493	9-cis-Retinoic acid
C15518	(24S)-Cholest-5-ene-3beta,7alpha,24-triol; 5-Cholesten-3beta,7alpha,24(S)-triol
C15519	25-Hydroxycholesterol; Cholest-5-ene-3beta,25-diol
C15520	Cholest-5-ene-3beta,7alpha,25-triol; 7alpha,25-Dihydroxycholesterol; 5-Cholesten-3beta,7alpha,25-triol; 3beta,7alpha,25-Trihydroxycholest-5-ene
C15521	Alkanesulfonate
C15522	4a-Hydroxytetrahydrobiopterin; 4a-Hydroxy-5,6,4,8-tetrahydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin; 6-[(1R,2S)-1,2-Dihydroxypropyl]-5,6,7,8-tetrahydro-4a-hydroxypterin
C15523	2,6-Dihydroxynicotinate
C15524	Phenylglyoxylyl-CoA
C15532	N-Acetyl-L-citrulline
C15547	1,4-Dihydroxy-2-naphthoyl-CoA
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate; 1-Deoxy-L-glycero-tetrulose 4-phosphate; 2-Hydroxy-3-oxobutyl phosphate
C15563	2-Amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one
C15606	1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one; 1,2-Dihydroxy-5-(methylsulfanyl)pent-1-en-3-one
C15607	3-Oxo-3-ureidopropanoate; Malonuric acid
C15610	Cholest-5-ene-3beta,26-diol; Cholest-5-ene-3beta,27-diol; 26-Hydroxycholesterol; 27-Hydroxycholesterol
C15613	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C15614	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA; (24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26-oyl-CoA
C15645	1-(1-Alkenyl)-sn-glycerol
C15646	1-(1-Alkenyl)-sn-glycero-3-phosphate
C15647	2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate
C15650	2,3-Diketo-5-methylthiopentyl-1-phosphate; 5-(Methylthio)-2,3-dioxopentyl phosphate; 5-(Methylsulfanyl)-2,3-dioxopentyl phosphate
C15651	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate; 2-Hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate; 2-Hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl phosphate
C15652	Neomycin C
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole
C15670	Heme A
C15672	Heme O
C15699	gamma-L-Glutamylputrescine
C15700	gamma-Glutamyl-gamma-aminobutyraldehyde
C15767	4-(L-gamma-Glutamylamino)butanoate; 4-(gamma-L-Glutamylamino)butanoate; gamma-Glutamyl-gamma-aminobutyrate; 4-(Glutamylamino)butanoate; gamma-Glutamyl-GABA
C15776	4alpha-Methylfecosterol
C15777	Episterol
C15778	5,7,24(28)-Ergostatrienol; Ergosta-5,7,24(28)-trien-3beta-ol
C15780	5-Dehydroepisterol
C15781	24-Methylenecholesterol
C15782	Delta7-Avenasterol; 7-Dehydroavenasterol
C15783	5-Dehydroavenasterol
C15808	4alpha-Methylzymosterol-4-carboxylate; 4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol
C15809	Iminoglycine; Iminoacetic acid; 2-Iminoacetate
C15810	Sulfur-carrier protein; [Sulfur-carrier protein]; [Sulfur-carrier protein]-Gly-Gly
C15811	[Enzyme]-cysteine
C15812	[Enzyme]-S-sulfanylcysteine
C15813	Adenylyl-[sulfur-carrier protein]; [Sulfur-carrier protein]-Gly-Gly-AMP
C15814	Thiocarboxy-[sulfur-carrier protein]; [Sulfur-carrier protein]-Gly-NH-CH2-C(O)SH
C15816	3-Keto-4-methylzymosterol
C15848	Angiotensin III
C15849	Angiotensin IV; Angiotensin II, 1-des-asn-2-arg
C15850	Angiotensin (1-7)
C15851	Angiotensin (1-9)
C15852	Angiotensin (1-5)
C15882	2-Methyl-6-phytylquinol; 2-Methyl-6-phytyl-1,4-hydroquinone; 2-Methyl-6-phytylbenzene-1,4-diol; 2-Methyl-6-phytyl-1,4-benzoquinol
C15883	2,3-Dimethyl-5-phytylquinol; 2,3-Dimethyl-5-phytyl-1,4-hydroquinone; 2,3-Dimethyl-6-phytylbenzene-1,4-diol
C15890	Endomorphin-1
C15915	4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol
C15923	L-Gulose
C15924	L-Gulose 1-phosphate
C15925	GDP-L-gulose
C15926	beta-L-Galactose 1-phosphate; L-Galactose 1-phosphate
C15930	L-Galactonate; L-Galactonic acid
C15972	Enzyme N6-(lipoyl)lysine; Lipoamide-E; [E2 protein]-N6-lipoyl-L-lysine; [Lipoyl-carrier protein E2]-N6-lipoyl-L-lysine
C15973	Enzyme N6-(dihydrolipoyl)lysine; Dihydrolipoamide-E; [E2 protein]-N6-[(R)-dihydrolipoyl]-L-lysine; [Lipoyl-carrier protein E2]-N6-[(R)-dihydrolipoyl]-L-lysine
C15974	3-Methyl-1-hydroxybutyl-ThPP; 3-Methyl-1-hydroxybutyl-TPP
C15975	[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine; S-(3-Methylbutanoyl)-dihydrolipoamide-E
C15976	2-Methyl-1-hydroxypropyl-ThPP; 2-Methyl-1-hydroxypropyl-TPP
C15977	[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine; S-(2-Methylpropanoyl)-dihydrolipoamide-E; S-(2-Methylpropionyl)-dihydrolipoamide-E; Enzyme N6-(S-[2-methylpropanoyl]dihydrolipoyl)lysine
C15978	2-Methyl-1-hydroxybutyl-ThPP; 2-Methyl-1-hydroxybutyl-TPP
C15979	[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine; S-(2-Methylbutanoyl)-dihydrolipoamide-E
C15980	(S)-2-Methylbutanoyl-CoA
C15986	2,6-Dihydroxypseudooxynicotine; 1-(2,6-Dihydroxypyridin-3-yl)-4-(methylamino)butan-1-one
C15987	4-Methylaminobutyrate; gamma-N-Methylaminobutyrate
C15995	Bombesin
C15996	7-Cyano-7-carbaguanine; 7-Cyano-7-deazaguanine
C16038	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine; PhIP
C16138	L-Pyrrolysine; Pyrrolysine
C16150	(R,S)-Nicotine; (+-)-3-(1-Methyl-2-pyrrolidinyl)pyridine
C16151	2,6-Dihydroxy-N-methylmyosmine
C16152	Blue pigment; Nicotine blue; (E)-2,2',5,5'-Tetrahydroxy-6H,6'H-[3,3'-bipyridinylidene]-6,6'-dione
C16153	UDP-L-Ara4N; UDP-4-amino-4-deoxy-L-arabinose; UDP-4-amino-4-deoxy-beta-L-arabinopyranose
C16154	UDP-L-Ara4FN; Uridine 5'-diphospho-beta-(4-deoxy-4-formamido-L-arabinose); UDP-4-deoxy-4-formamido-beta-L-arabinopyranose
C16155	UDP-L-Ara4O; UDP-4''-ketopentose; Uridine 5'-diphospho-beta-(L-threo-pentapyranosyl-4''-ulose); UDP-beta-L-threo-pentapyranos-4-ulose; UDP-4-keto-D-xylose
C16156	Undecaprenyl phosphate alpha-L-Ara4FN; 4-Deoxy-4-formamido-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate
C16157	Undecaprenyl phosphate alpha-L-Ara4N; 4-Amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate
C16159	2-Formylglutarate
C16162	(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA
C16163	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA; Stearidonoyl-CoA
C16164	(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA; (8Z,11Z,14Z,17Z)-Icosa-8,11,14,17-tetraenoyl-CoA
C16165	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoyl-CoA
C16166	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA
C16167	(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA
C16168	(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA
C16169	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA
C16170	(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA
C16171	(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA
C16172	(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA
C16173	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA
C16179	(11Z,14Z,17Z)-Icosatrienoyl-CoA; (11Z,14Z,17Z)-Icosa-11,14,17-trienoyl-CoA
C16180	(11Z,14Z)-Icosadienoyl-CoA; (11Z,14Z)-Icosa-11,14-dienoyl-CoA
C16186	L-Ascorbate 6-phosphate
C16216	3-Oxostearoyl-CoA; 3-Oxooctadecanoyl-CoA; beta-Ketostearoyl-CoA; 3-Ketostearoyl-CoA
C16217	3-Hydroxyoctadecanoyl-CoA; 3-Hydroxystearoyl-CoA; beta-Hydroxystearoyl-CoA
C16218	(2E)-Octadecenoyl-CoA; trans-Octadec-2-enoyl-CoA
C16219	3-Oxostearoyl-[acp]; 3-Oxooctadecanoyl-[acp]; beta-Ketostearoyl-[acp]; 3-Ketostearoyl-[acp]
C16220	(R)-3-Hydroxyoctadecanoyl-[acp]; (R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]; (R)-3-Hydroxystearoyl-[acp]; (R)-3-Hydroxystearoyl-[acyl-carrier protein]
C16221	(2E)-Octadecenoyl-[acp]; trans-Octadec-2-enoyl-[acp]
C16238	Lipoyl-AMP
C16241	(R)-Lipoate; (R)-Lipoic acid; (R)-(+)-Lipoate; R-(+)-Lipoic acid; 1,2-Dithiolane-3R-pentanoic acid
C16242	Cobalt-precorrin 5A
C16243	Cobalt-precorrin 5B
C16244	Cobalt-precorrin 7
C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine; S-Succinyldihydrolipoamide-E; Enzyme N6-(S-succinyldihydrolipoyl)lysine
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine; S-Acetyldihydrolipoamide-E; Enzyme N6-(S-acetyldihydrolipoyl)lysine
C16300	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid; 6Z,9Z,12Z,15Z-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadeca-6,9,12,15-tetraenoic acid
C16308	Traumatic acid; (2E)-Dodecenedioic acid; Dodec-2-enedioic acid
C16309	Traumatin; (10E)-12-Oxododecenoic acid
C16310	3-Hexenal; (3Z)-Hexenal
C16311	12-Oxo-9(Z)-dodecenoic acid
C16316	13(S)-HOT; (9Z,11E,15Z)-(13S)-Hydroxyoctadeca-9,11,15-trienoate; (9Z,11E,15Z)-(13S)-13-Hydroxyoctadeca-9,11,15-trienoic acid; (9Z,11E,13S,15Z)-13-Hydroxyoctadeca-9,11,15-trienoic acid; 13(S)-HOTrE
C16317	(+)-7-Isojasmonic acid
C16318	(+)-7-Isomethyljasmonate
C16319	Etherolenic acid; (9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid
C16320	Colnelenic acid; (8E)-9-[(1E,3Z,6Z)-Nona-1,3,6-trien-1-yloxy]non-8-enoate
C16321	9(S)-HPOT; (10E,12Z,15Z)-(9S)-9-Hydroperoxyoctadeca-10,12,15-trienoic acid; 9(S)-HpOTrE; (9S,10E,12Z,15Z)-9-Hydroperoxy-10,12,15-octadecatrienoate
C16322	9-Oxononanoic acid
C16323	3,6-Nonadienal
C16324	9,10-EOT; 9,10-Epoxyoctadecatrienoic acid; (9S)-(10E,12Z,15Z)-9,10-Epoxyoctadecatri-10,12,15-enoic acid; 9,10-EOTrE
C16325	10-OPDA; 10-Oxo-11,15-phytodienoic acid; (11Z,15Z)-10-Oxo-11,15-phytodienoic acid
C16326	9(S)-HOT; (9S)-(10E,12Z,15Z)-9-Hydroxyoctadecatri-10,12,15-enoic acid; 9(S)-HOTrE
C16327	OPC8-CoA
C16328	trans-2-Enoyl-OPC8-CoA
C16330	3-Oxo-OPC8-CoA
C16331	OPC6-CoA
C16332	trans-2-Enoyl-OPC6-CoA
C16334	3-Oxo-OPC6-CoA
C16335	OPC4-CoA
C16336	trans-2-Enoyl-OPC4-CoA
C16338	3-Oxo-OPC4-CoA
C16339	(+)-7-Isojasmonic acid CoA
C16341	2(R)-HPOT; (2R)-(9Z,12Z,15Z)-2-Hydroperoxyoctadecatri-9,12,15-enoic acid; 2(R)-HpOTrE
C16342	2(R)-HOT; (2R)-(9Z,12Z,15Z)-2-Hydroxyoctadecatri-9,12,15-enoic acid; 2(R)-HOTrE
C16343	Heptadecatrienal; (8Z,11Z,14Z)-8,11,14-Heptadecatrienal
C16344	Norlinolenic acid; (8Z,11Z,14Z)-Heptadecatrienoic acid; (8Z,11Z,14Z)-8,11,14-Heptadecatrienoic acid; 8Z,11Z,14Z-Heptadecatrienoic acid; (8Z,11Z,14Z)-Heptadeca-8,11,14-trienoic acid
C16345	Volicitin; N-(17-Hydroxylinolenoyl)-L-glutamine
C16346	17-Hydroxylinolenic acid; (9Z,12Z,15Z)-17-Hydroxyoctadecatri-9,12,15-enoic acid
C16352	7-Methylxanthosine
C16353	7-Methylxanthine
C16355	7-Methyluric acid
C16356	1,7-Dimethyluric acid
C16357	3-Methylxanthine
C16358	1-Methylxanthine
C16359	1-Methyluric acid
C16360	3,7-Dimethyluric acid
C16361	1,3,7-Trimethyluric acid; 1,3,7-Trimethylurate
C16362	3,6,8-Trimethylallantoin
C16363	N-Methylurea; Methylurea
C16364	N,N'-Dimethylurea; 1,3-Dimethylurea
C16365	5-Acetylamino-6-formylamino-3-methyluracil; AFMU
C16366	5-Acetylamino-6-amino-3-methyluracil; AAMU
C16374	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-2,6,9,12,15,18,21-heptaenoyl-CoA
C16375	(3R,6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosa-6,9,12,15,18,21-hexaenoyl-CoA
C16376	(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosa-6,9,12,15,18,21-hexaenoyl-CoA
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosa-2,6,9,12,15,18-hexaenoyl-CoA
C16388	(3R,6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapentaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosa-6,9,12,15,18-pentaenoyl-CoA
C16389	(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosa-6,9,12,15,18-pentaenoyl-CoA
C16390	(S)-2-(Hydroxymethyl)glutarate
C16421	AI-2; Autoinducer 2
C16432	5-Hydroxyectoine
C16453	4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone; NNK
C16511	L-Homocysteic acid; (2S)-2-Amino-4-sulfobutanoic acid
C16512	Palmitoylethanolamide; Palmidrol
C16513	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid; (7Z,10Z,13Z,16Z,19Z)-Docosa-7,10,13,16,19-pentaenoic acid; Docosapentaenoic acid; 7Z,10Z,13Z,16Z,19Z-Docosapentaenoic acid
C16514	Beta-amyloid protein 40
C16516	Indolylmethylthiohydroximate; (E)-2-(1H-Indol-3-yl)-1-thioacetohydroximate
C16517	Indolylmethyl-desulfoglucosinolate; Desulfoglucobrassicin
C16518	S-(Indolylmethylthiohydroximoyl)-L-cysteine
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate; 5-Enolpyruvoyl-6-hydroxy-2-succinylcyclohex-3-ene-1-carboxylate; SEPHCHC
C16520	Hexadecenoyl-[acyl-carrier protein]; (9Z)-Hexadec-9-enoyl-[acyl-carrier protein]
C16521	Isoprene; 2-Methyl-1,3-butadiene
C16522	Icosatrienoic acid; Eicosatrienoic acid; ETA; 11,14,17-Icosatrienoic acid; (11Z,14Z,17Z)-Icosa-11,14,17-trienoic acid; 11,14,17-Eicosatrienoic acid; (11Z,14Z,17Z)-Eicosa-11,14,17-trienoic acid
C16525	Icosadienoic acid; Eicosadienoic acid; 11,14-Icosadienoic acid; (11Z,14Z)-Icosa-11,14-dienoic acid; 11,14-Eicosadienoic acid; (11Z,14Z)-Eicosa-11,14-dienoic acid
C16526	Icosenoic acid; Eicosenoic acid; 11-Icosenoic acid; 11-Eicosenoic acid; (11Z)-Icosenoic acid; (11Z)-Eicosenoic acid; (Z)-Icosa-11-enoic acid
C16527	Adrenic acid; 7,10,13,16-Docosatetraenoic acid; (7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid; 7Z,10Z,13Z,16Z-Docosatetraenoic acid
C16528	Docosanoyl-CoA; Behenoyl-CoA
C16529	Tetracosanoyl-CoA; Lignoceroyl-CoA
C16530	Icosenoyl-CoA; Eicosenoyl-CoA; (11Z)-Icosenoyl-CoA; (11Z)-Eicosenoyl-CoA
C16531	Docosenoyl-CoA; (13Z)-Docosenoyl-CoA
C16532	Tetracosenoyl-CoA; Nervonoyl-CoA; (15Z)-Tetracosenoyl-CoA
C16533	(13Z,16Z)-Docosadienoic acid; (13Z,16Z)-Docosa-13,16-dienoic acid; 13Z,16Z-Docosadienoic acid
C16540	7(1)-Hydroxychlorophyllide a
C16541	Chlorophyllide b
C16542	APC
C16543	NPC
C16544	alpha-Hydroxytamoxifen
C16545	Tamoxifen N-oxide
C16546	N-Desmethyltamoxifen
C16547	Endoxifen; 4-Hydroxy-N-desmethyltamoxifen
C16548	N,N-Didesmethyltamoxifen
C16549	alpha-Hydroxy-N-desmethyltamoxifen
C16550	Dechloroethylcyclophosphamide; 3-Dechloroethylifosfamide
C16551	Alcophosphamide
C16552	Nornitrogen mustard
C16553	4-Hydroxyifosfamide
C16554	4-Ketoifosfamide
C16555	2-Dechloroethylifosfamide
C16556	Aldoifosfamide
C16557	Carboxyifosfamide
C16558	Alcoifosfamide
C16559	Isophosphoramide mustard; Ifosfamide mustard; Isophosphamide mustard
C16560	3-Hydroxylidocaine
C16561	Monoethylglycinexylidide
C16562	Glutathionylspermine
C16563	Bis(glutathionyl)spermine; N1,N12-Bis(glutathionyl)spermine
C16564	Bis(glutathionyl)spermine disulfide
C16565	Aminopropylcadaverine
C16566	Glutathionylaminopropylcadaverine
C16567	Homotrypanothione; N1,N9-Bis(glutathionyl)aminopropylcadaverine
C16568	Homotrypanothione disulfide
C16569	Glycinexylidide; GX
C16570	4-Hydroxy-2,6-dimethylaniline; 3,5-Dimethyl-4-aminophenol
C16571	2-Amino-3-methylbenzoate
C16572	3-Hydroxymonoethylglycinexylidide
C16576	Norcodeine; N-Desmethylcodeine
C16577	Codeine-6-glucuronide
C16578	Morphine-6-glucuronide
C16582	2-Hydroxyfelbamate
C16583	(R)-(Homo)2-citrate; (R)-2-Hydroxy-1,2,5-pentanetricarboxylate; (R)-2-Hydroxy-1,2,5-pentanetricarboxylic acid
C16584	p-Hydroxyfelbamate
C16586	2-Phenyl-1,3-propanediol monocarbamate
C16587	3-Carbamoyl-2-phenylpropionaldehyde
C16588	2-Oxopimelate; alpha-Ketopimelate; 2-Oxoheptanedionic acid
C16589	2-Oxosuberate; 2-Oxooctanedionic acid; alpha-Ketosuberate
C16591	3-Carbamoyl-2-phenylpropionic acid
C16592	Atropaldehyde; 2-Phenylpropenal
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C16597	(-)-threo-Iso(homo)2-citrate; (-)-threo-1-Hydroxy-1,2,5-pentanetricarboxylic acid; 1-Hydroxypentane-1,2,5-tricarboxylate; threo-(Homo)2-isocitrate
C16598	(R)-(Homo)3-citrate; (R)-2-Hydroxy-1,2,6-hexanetricarboxylate; (R)-2-Hydroxy-1,2,6-hexanetricarboxylic acid
C16600	(-)-threo-Iso(homo)3-citrate; (-)-threo-1-Hydroxy-1,2,6-hexanetricarboxylic acid; 1-Hydroxyhexane-1,2,6-tricarboxylate; threo-(Homo)3-isocitrate
C16601	2-Hydroxycarbamazepine
C16602	3-Hydroxycarbamazepine
C16603	2,3-Dihydroxycarbamazepine
C16604	2-Hydroxyiminostilbene
C16605	2H-Dibenz[b,f]azepin-2-one
C16606	Carbamazepine-o-quinone
C16607	Citalopram N-oxide
C16608	Demethylcitalopram
C16609	Didemethylcitalopram
C16610	Citalopram propionic acid
C16612	Citalopram aldehyde
C16613	6-Thiourate; 6-Thiouric acid
C16614	6-Methylmercaptopurine; Thiopurine S-methylether
C16615	6-Methylthiopurine 5'-monophosphate ribonucleotide; 6-Methylthioinosine-5'-monophosphate
C16616	6-Mercaptopurine ribonucleoside 5'-diphosphate; 6-Thioinosine-5'-diphosphate
C16617	6-Mercaptopurine ribonucleoside triphosphate; 6-Thioinosine-5'-triphosphate
C16618	6-Thioxanthine 5'-monophosphate
C16619	6-Thioguanosine monophosphate
C16620	6-Methylthioguanosine monophosphate
C16621	1-Methyl-4-nitroimidazole
C16622	N,N'-Diacetylhydrazine; Diacetylhydrazine
C16623	Isonicotinylglycine; Isonicotinuric acid
C16624	Isoniazid pyruvate
C16625	Isoniazid alpha-ketoglutaric acid
C16630	5,6-Dihydro-5-fluorouracil; 5-Fluorodihydrouracil
C16631	alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid
C16632	alpha-Fluoro-beta-alanine; 3-Amino-2-fluoropropionic acid
C16633	5-Fluorouridine
C16634	5-Fluorouridine monophosphate
C16635	5'-Deoxy-5-fluorocytidine
C16638	O-Phosphoseryl-tRNA(Sec)
C16643	Morphine-3-glucuronide
C16645	(13Z,16Z)-Docosadienoyl-CoA; (13Z,16Z)-Docosadi-13,16-enoyl-CoA; 13Z,16Z-Docosadienoyl-CoA
C16648	2-n-Propyl-4-pentenoic acid; 4-En-valproic acid; 4-Ene-VPA
C16649	4-Hydroxyvalproic acid; 2-n-Propyl-4-hydroxypentanoic acid; 4-OH-VPA
C16650	5-Hydroxyvalproic acid; 2-n-Propyl-5-hydroxypentanoic acid; 5-OH-VPA
C16651	3-Hydroxyvalproic acid; 2-n-Propyl-3-hydroxypentanoic acid; 3-OH-VPA
C16652	3-Oxovalproic acid; 2-n-Propyl-3-oxopentanoic acid; 3-Keto-VPA
